"School","ID","CoNo","StNo","Low","High","Students"
"ADVOSERV","A0700392",3,"10",-2,-2,86
"ALBERT EINSTEIN ACADEMY","00249817",3,"10",0,5,46
"ALL SAINTS CATHOLIC SCHOOL","00249464",3,"10",-1,8,492
"APPLE GROVE SCHOOL","A0101559",1,"10",1,8,28
"ARCHMERE ACADEMY","00249657",3,"10",9,12,481
"BANK OF AMERICA CHILD DEVELOPM","A0101603",3,"10",-1,0,32
"BEACON OF HOPE CHRISTIAN ACADE","A1100469",3,"10",-1,2,23
"BETHEL CHRISTIAN SCHOOL","A0700394",5,"10",-1,0,110
"CACC MONTESSORI SCHOOL","K9301171",3,"10",-1,0,86
"CALVARY CHRISTIAN ACADEMY","A9101637",1,"10",-1,12,314
"CAPITOL BAPTIST SCHOOL","00249908",1,"10",-1,12,29
"CARAVEL ACADEMY","01922352",3,"10",-1,12,1182
"CEDAR GROVE AMISH SCHOOL","A9302660",1,"10",1,8,39
"CENTRAL CHRISTIAN SCHOOL","01922308",1,"10",0,11,64
"CENTRAL DE CHRISTIAN ACADEMY","A9101639",1,"10",-1,8,71
"CENTREVILLE SCHOOL","00249883",3,"10",-2,-2,83
"CHILDCARE ACADEMY SCHOOL OF TH","A0500901",3,"10",-1,0,74
"CHILDREN S HOUSE MONTESSORI","A9901073",3,"10",-1,1,90
"CHRIST THE TEACHER CATHOLIC SC","A0300719",3,"10",-1,8,622
"CITY GATES ACADEMY","A0300720",3,"10",4,8,36
"CONCORD CHRISTIAN ACADEMY","00250061",3,"10",-1,12,226
"CONCORD PRESCHOOL & CHILDCARE","K9301185",3,"10",-1,0,168
"COOPERS CORNER SCHOOL","A9101642",1,"10",3,8,19
"CORNERSTONE EARLY ED & YOUTH C","A0700396",3,"10",-1,0,89
"DELMARVA CHRISTIAN HIGH SCHOOL","A0700397",5,"10",9,12,181
"DEVELOPING MINDS PRESCHOOL AND","A0500893",3,"10",-1,0,67
"EAGLE'S NEST CHRISTIAN ACADEMY","A0101590",5,"10",-1,8,344
"EARLY CHILDHOOD LABORATORY SCH","A0700399",1,"10",-1,0,54
"EDU-CARE PRESCHOOL & DAYCARE","A0770643",3,"10",-1,0,28
"EDUCATIONAL ENRICHMENT CENTER","K9301187",3,"10",-1,0,44
"ELEMENTARY WORKSHOP MONTESSORI","00249872",3,"10",-1,4,38
"EPWORTH CHRISTIAN SCHOOL","01609906",5,"10",-1,8,142
"FAIRWINDS CHRISTIAN SCHOOL","00249919",3,"10",-1,12,174
"FAITH PRESCHOOL & CHILD CARE","K9301188",3,"10",-1,0,60
"GENEVA ACADEMY","A1100471",5,"10",0,12,33
"GLASGOW CHRISIAN ACADEMY","A0700400",3,"10",-1,8,246
"GODDARD EARLY LEARNING CENTER","A0101599",3,"10",-1,0,22
"GREEN HILL","00250152",1,"10",1,8,46
"GREENWOOD MENNONITE SCHOOL","00249963",5,"10",-1,12,198
"HARVEST CHRISTIAN ACADEMY - WI","A0900712",3,"10",-1,7,143
"HIGH ROAD SCHOOL OF DELAWARE","A0700402",3,"10",5,12,23
"HOCKESSIN MONTESSORI SCHOOL","A9101644",3,"10",-1,8,143
"HOLY ANGELS ELEMENTARY SCHOOL","00249442",3,"10",-1,8,427
"HOLY CROSS SCHOOL","00249362",1,"10",-1,8,587
"HONEY SUCKLE KNOLL AMISH SCHOO","A0900716",1,"10",1,8,34
"HONEYSUCKLE KNOLL SCHOOL","A9101645",1,"10",1,8,34
"IMMACULATE HEART OF MARY","00249475",3,"10",-1,8,528
"INTEGRITY CHRISTIAN SCHOOL","A1100472",1,"10",4,11,6
"ISLAMIC ACADEMY OF DELAWARE","A1100473",3,"10",-1,6,106
"JESUS IS LORD CHRISTIAN ACADEM","A9901094",5,"10",-1,12,40
"KENTON MENNONITE SCHOOL","A0700405",1,"10",3,12,37
"KINDER CARE LEARNING CENTER NA","A1100474",3,"10",-1,0,21
"KINGDOM CHRISTIAN ACADEMY","A0900719",1,"10",-1,8,48
"LAYTON PREPARATORY SCHOOL","A0700406",3,"10",9,12,26
"LEARNING EXPRESS ACADEMY","A0770654",3,"10",0,5,96
"LIGHTHOUSE CHRISTIAN SCHOOL","A0101631",5,"10",-1,8,130
"LIL' RED HEN KINDERGARTEN","A0900722",5,"10",0,0,5
"LIMESTONE HILLS DAY SCHOOL","A0900723",3,"10",-1,0,44
"MILFORD CHRISTIAN SCHOOL","00249996",5,"10",-1,12,136
"NATIVITY PREPARATORY SCHOOL OF","A0500905",3,"10",5,8,42
"NEWARK CENTER FOR CREATIVE LEA","00249781",3,"10",-2,-2,75
"NEWARK DAY NURSERY & CHILDREN ","A0500904",3,"10",-1,0,97
"OUR LADY OF FATIMA SCHOOL","00249409",3,"10",-1,8,263
"PACEM IN TERRIS ACADEMY","A0900726",5,"10",0,6,6
"PADUA ACADEMY","00249486",3,"10",9,12,596
"PIKE CREEK CHRISTIAN SCHOOL","00250163",3,"10",-1,8,131
"RED LION CHRISTIAN ACADEMY","01922283",3,"10",-1,12,704
"ROSE VALLEY SCHOOL","02015536",1,"10",1,8,36
"SALESIANUM SCHOOL","00249497",3,"10",9,12,981
"SANFORD SCHOOL","00249839",3,"10",-1,12,599
"SEAFORD CHRISTIAN ACADEMY","00249806",5,"10",-1,9,12
"SERVIAM GIRLS ACADEMY","A1100476",3,"10",5,8,35
"SHARON TEMPLE ADVENTIST ELEMEN","01922294",3,"10",0,4,10
"SOUTHERN MEADOW SCHOOL","A9101652",1,"10",1,8,25
"ST ANDREW'S SCHOOL","00249737",3,"10",9,12,295
"ST ANN SCHOOL","00249511",3,"10",-1,8,278
"ST ANNES EPISCOPAL SCHOOL","A0300731",3,"10",-1,8,306
"ST ANTHONY OF PADUA GRADE SCHO","00249522",3,"10",-1,8,277
"ST EDMOND'S ACADEMY","00249544",3,"10",-1,8,223
"ST ELIZABETH ELEMENTARY SCHOOL","01604318",3,"10",-1,8,321
"ST JOHN THE BELOVED SCHOOL","00249566",3,"10",-1,8,618
"ST JOHN'S LUTHERAN SCHOOL","A0304035",1,"10",-1,8,81
"ST MARK'S HIGH SCHOOL","00249577",3,"10",9,12,1077
"ST MARY MAGDALEN SCHOOL","00249588",3,"10",-1,8,538
"ST MICHAEL'S SCHOOL & NURSERY","K9301182",3,"10",-1,1,63
"ST PAUL'S LUTHERAN SCHOOL","A9700887",3,"10",-1,0,62
"ST PETER CATHEDRAL SCHOOL","00249613",3,"10",-1,8,197
"ST PETER CATHOLIC SCHOOL","00249431",3,"10",-1,8,215
"ST THOMAS MORE ACADEMY","A0101670",1,"10",9,12,235
"SUPER KIDS","A0900731",3,"10",-1,0,65
"TALL OAKS CLASSICAL SCHOOL","A9700832",3,"10",0,12,231
"TENDER LOVING KARE CHILDCARE &","A0770665",3,"10",-1,0,164
"THE COLLEGE SCHOOL","00250108",3,"10",1,8,61
"THE INDEPENDENCE SCHOOL","01612883",3,"10",-1,8,752
"THE JEFFERSON SCHOOL","K9301205",5,"10",-1,8,91
"THE LITTLE SCHOOL","K9301203",1,"10",-1,0,31
"THE NEW SCHOOL","A9700889",3,"10",-2,-2,20
"THE PILOT SCHOOL","00249792",3,"10",-2,-2,148
"THE TATNALL SCHOOL","00249828",3,"10",-1,12,666
"TLK ACADEMY","A0300734",3,"10",-1,5,96
"TOWER HILL SCHOOL","00249861",3,"10",-1,12,753
"TUTOR TIME CHILD CARE","A9901116",3,"10",-1,8,87
"TUTOR TIME LEARNING CENTERS","A0900733",3,"10",0,0,8
"UNIV OF DELAWARE LABORATORY PR","A9901096",3,"10",-1,0,61
"URBAN PROMISE SCHOOL","A0900734",3,"10",-1,8,63
"URSULINE ACADEMY (PK-12)","00249646",3,"10",-1,12,515
"WEST CENTER SCHOOL","00249748",1,"10",2,8,21
"WILEYS SCHOOL","00250174",1,"10",7,8,6
"WILMINGTON CHRISTIAN SCHOOL","A9501052",3,"10",-1,12,486
"WILMINGTON FRIENDS SCHOOL","00249715",3,"10",-1,12,778
"WILMINGTON MONTESSORI SCHOOL","AA001472",3,"10",-1,6,265
"ZION EARLY EDUCATION CENTER","A0700415",3,"10",-1,0,25
